Clause ID,Raw Title / Name,Clause Text (source excerpt),Category,Insertion Point,Current Status,Trigger / Usage Summary,Parameters Needed,Downstream Effects,Mutually Exclusive With,Notes / Cleanup Needed,Source,V1 Handling,Decision table ref(s),Huzaifa review needed?,Exact review prompt,Canonical output note
CL_012,Slab disclaimer,"Slab-on-grade support by the fill appears to be adequate for normal house basement floor loads, however there is always some risk of movement from fill soils. If no risk of slab settlement is desired a structural slab is suggested.",Advisory,Optional later paragraph,SPECIAL,Slab-on-grade fill movement disclaimer,none,Adds slab risk advice,None,"Useful later, but not core V1 unless requested by firm.",Master clause doc,REVIEW,DT_094,Yes,"When do you actually include the slab disclaimer in a footing-inspection letter, and where should it sit relative to garage advice?","Special advisory, not part of every normal FSI letter."
CL_013,Slough Material,"An area of slough material, due to sloughing excavation sidewall, was encountered at the right portion of the excavation floor. This material should be removed from the excavation.",Observed condition,P2/P4,CURRENT,When sloughed material present at excavation floor,location,May require removal instruction,None,Need example letters to confirm placement and downstream recommendation.,Master clause doc,AUTO,DT_030,No,,P2 observation append with linked removal/remediation note if needed.
CL_014,Standard Garage Recommendations,"It is understood the building contractor wishes to utilize a standard footing foundation for the attached garage. A minimum strip footing width of 450 mm and a minimum depth of 150 mm are recommended for the garage. Also, a minimum cover of 2.0 m for frost protection should be provided for non-continuously heated structures or exterior isolated footings. The frost cover can be reduced to 1.5 m for continuously heated structures. As an option, frost cover can be obtained by the use of exterior rigid insulation. Insulation details can be supplied upon request.",Recommendation,P5,CURRENT,Garage present and standard recommendation applies,none,Garage paragraph added,Modified Garage Recommendations,Garage clause family.,Master clause doc,AUTO,DT_090,No,,Garage recommendation must mirror the same footing basis as P4.
CL_015,Modified Garage Recommendations,"It is understood the building contractor wishes to utilize a modified footing foundation for the attached garage. A minimum strip footing width of 600 mm and a minimum depth of 200 mm are recommended for the garage. Also, a minimum cover of 2.0 m for frost protection should be provided for non-continuously heated structures or exterior isolated footings. The frost cover can be reduced to 1.5 m for continuously heated structures. As an option, frost cover can be obtained by the use of exterior rigid insulation. Insulation details can be supplied upon request.",Recommendation,P5,CURRENT,Garage present and modified recommendation applies,none,Garage paragraph added,Standard Garage Recommendations,Garage clause family.,Master clause doc,AUTO,DT_091,No,,Garage recommendation must mirror the same footing basis as P4.
CL_016,Garage slab organics,Organic soils were encountered within the garage slab-on-grade area. Slab-on-grade support by the organic soils appears to be unsuitable for normal garage floor loads. If no risk of slab settlement is desired a structural slab is suggested.,Garage slab advisory,P5 or later,CURRENT,Organics found in garage slab-on-grade area,none,Adds slab unsuitability / structural slab option,None,Two near-duplicate titles in source.,Master clause doc,REVIEW,DT_094,Yes,Confirm whether this garage slab organics advisory is a standard P5 add-on or only used in special garage slab situations.,Near-duplicate titles exist in source; keep one normalized advisory family.
CL_017,Fill and native material – below the fill,"Below the clay fill material, the soil encountered was identified as moist, dark grey, silty clay. The clay was a native deposit of high plasticity with a very stiff consistency and featured traces of oxides. This lot was part of an engineered fill program monitored and tested by our firm.",Soil paragraph pattern,P3,CURRENT,Engineered fill over native material layered wording,layer depth; descriptors,P3 composition,Other P3 soil templates,Matches example structure closely.,Master clause doc + example letter,AUTO,DT_051,No,,Canonical layered fill-over-native template; strong anchor for P3 composition.
CL_018,Walkout at rear,"Cuts of approximately 2.2 to 2.2 m below the adjacent ground surface were noted at the front of the excavation, and cuts of approximately 1.5 to 1.6 metres below the adjacent ground surface were noted at the back. An extra 1.2 m of material was removed from the back portion of the excavation to allow for the construction of a frost wall to accommodate a rear walkout basement.",Excavation pattern,P2,CURRENT,Rear walkout basement wording,front cut range; back cut range; extra depth,May affect garage / recommendation context,Standard cut-only wording,Important alternate excavation template.,Master clause doc,AUTO,DT_022,No,,"Walkout replaces the standard cut wording, then allows later append clauses after it."
CL_019,Previously poured footing,"At the time of inspection, the excavation was at footing grade and a strip footing foundation with a footing width of approximately 450 millimetres and depth of approximately 150 millimetres had been poured. Cuts of approximately 1.9 to 2.2 metres below the adjacent ground surface were noted. The soil encountered throughout the excavation floor was identified as moist, grey and brown, silty clay. The clay was a native deposit of medium plasticity with a stiff consistency and featured traces of oxides and coal.

For 20 inches: At the time of inspection, the excavation was at footing grade and a strip footing foundation with a footing width of approximately 500 millimetres and depth of 200 millimetres had been poured.

The soil conditions at this site were considered suitable for the construction of a standard house footing foundation. The strip footing size, as constructed, was considered adequate for this residence. It appears the building contractor utilized a standard footing foundation for the attached garage. The strip footing size, as constructed, was also considered adequate for this garage.",Excavation + recommendation variant,P2 and P4,CURRENT,Use when footing already poured before inspection,footing width; footing depth,Switches from recommendation to as-constructed adequacy,Standard/Modified live recommendation text,Need normalized variants for 18/20/24 inch cases.,Master clause doc,REVIEW,DT_026; DT_027; DT_028; DT_072; DT_073; DT_074,Yes,"Confirm the exact supported set of as-constructed footing sizes, especially the 24-inch case and any garage wording changes.",18-inch and 20-inch are understandable; 24-inch remains flagged.
CL_020,Thickened Footing,"The excavated material can be accounted for by a thickened footing. Also, for extra strength, the basement walls should be reinforced with four rows of 2-10M bars spread evenly top to bottom. Care must also be taken to place the weeping tile level, with no bumps or sags and have positive flow to the sump. OR The excavated material can be accounted for by a thickened footing. Care must also be taken to place the weeping tile level, with no bumps or sags and have positive flow to the sump.",Recommendation add-on,P4,CURRENT,Used after removal/soft material treatment in some conditions,none,Adds thickened footing accounting and possible wall rebar / drainage note,None,Actually appears as two variants; split later.,Master clause doc,AUTO,DT_080,No,,"Treat as a recommendation/remediation add-on, not as a full replacement recommendation."
CL_021,Garage and House Footing,"At the time of inspection, the excavation was at footing grade and was advanced by a backhoe. Cuts of approximately 0.8 to 1.2 m below the adjacent ground surface were noted in the house area. In addition, the excavation had been extended into the garage footing areas, with the bottom of that excavation at the same elevation as the house excavation floor.",Excavation pattern,P2,CURRENT,Garage excavation at same elevation as house excavation,house cut range,Triggers garage recommendation paragraph,Garage higher than house footing,Basic garage-present excavation clause.,Master clause doc + transcript,AUTO,DT_023,No,,Garage same-elevation append should occur after standard cut or walkout wording.
CL_022,Garage higher than house footing,"At the time of inspection, the excavation was at footing grade and was advanced by a backhoe. Cuts of approximately 1.6 to 2.0 m below the adjacent ground surface were noted in the house area. In addition, an excavation had also been made in the garage footing area, with the excavation floor noted at approximately 0.7 m above the house excavation level.",Excavation pattern,P2,CURRENT,Garage footing area higher than house excavation,house cut range; elevation difference,Triggers garage recommendation paragraph,Garage and House Footing,Alternate garage excavation clause.,Master clause doc + transcript,AUTO,DT_024,No,,Garage append should occur after standard cut or walkout wording.
CL_023,Garden Suite Clauses,"At the time of inspection, the excavation was at footing grade and was advanced by a backhoe. Cuts of approximately 1.5 to 2.5 m below the adjacent ground surface were noted in the house area. An excavation had also been made in the rear of the excavation floor to accommodate for a rear garage garden suite with the bottom of that excavation at the same elevation as the house excavation floor.

It is understood the building contractor wishes to utilize a standard footing foundation for the rear garage garden suite structure. A minimum strip footing width of 450 millimetres and a minimum depth of 150 millimetres are recommended for the rear garage garden suite structure. Also, a minimum cover of 2.0 metres for frost protection should be provided for non-continuously heated structures or exterior isolated footings. The frost cover can be reduced to 1.5 metres for continuously heated structures. As an option, frost cover can be obtained by the use of exterior rigid insulation. Insulation details can be supplied upon request.",Special structure,P2 and P5,SPECIAL,Rear garage garden suite structure,cuts; footing recommendation,Adds special recommendation paragraph,Normal garage clauses,Defer to later phase.,Master clause doc,REVIEW,DT_025; DT_093,Yes,Confirm that garden / garage suite always uses P5 only and does not trigger a normal house P4 recommendation.,Special structure mode; keep clearly separated in UI.
CL_024,Over-sized trench,"Due to an oversized cut in the service trench, the footing should be reinforced with one row of 2-10M bars spread evenly throughout the footing. The basement walls should be reinforced with four rows of 2-10M bars, spread evenly throughout the wall. Or for Pre-cast walls: Due to an oversized cut in the service trench, the fill material in the service trench should be removed from beneath the footing area to a width extending a minimum 300 millimetres beyond each side of the footing and backfilled with fillcrete or compacted gravel. Another option would be to remove the fill material in the service trench from beneath the footing. The excavated material can be accounted for by a thickened footing.",Observed condition + recommendation,P2 and P4,CURRENT,When service trench is oversized,location; wall type?,Adds reinforcement or alternative remediation,Pre-cast alternative,Need split into standard and precast subclauses.,Master clause doc,AUTO,DT_031; DT_079,No,,Location parameter belongs in P2; reinforcement/remediation belongs in P4.
CL_025,Loose or peeling material,"Areas of loose peeling clay material, to depths of approximately 50 millimetres were encountered throughout the excavation floor. This material should be hand removed from below the footing. The excavated material can be accounted for by a thickened footing. Care must also be taken to place the weeping tile level, with no bumps or sags and have positive flow to the sump. After treating the loose peeling clay material, the soil conditions at this site...

Or

The soil conditions at this site were considered adequate for the construction of a standard house footing foundation. A minimum strip footing width of 450 millimetres and a minimum depth of 150 millimetres are recommended for this residence. All loose materials should be removed from the footing bearing surface prior to placement of concrete.",Observed condition + recommendation,P2 and P4,CURRENT,Loose/peeling clay in excavation floor,depth; extent,May add removal instruction / thickened footing / alternate wording,None,Source contains two alternative endings; needs normalization.,Master clause doc,AUTO,DT_032; DT_080,No,,Observation lives in P2; thickened-footing/remediation language lives in P4.
CL_026,Upgraded Drainage – water in augerholes,"The soil encountered throughout the excavation floor was identified as moist to very moist, greyish brown, silty, sandy clay. The clay material was a native deposit of medium plasticity with a soft to firm consistency. At the time of inspection, free water was noted pooling in the auger holes approximately 0.9 metres below the footing elevation. The soil conditions at this site would be considered adequate for the construction of a standard house footing foundation. A minimum strip footing width of 600 millimetres and a minimum depth of 200 millimetres are recommended for this residence. The free water must be removed from below all footings just prior to concrete placement. Temporary dewatering may be required. Due to the infiltrating water in the auger holes, the house drainage should be upgraded to include interior as well as exterior weeping tile. Care must also be taken to place the weeping tile level, with no bumps or sags and have positive flow to the sump. A drawing depicting the recommended drainage measures is attached.",Observation + recommendation package,P2/P3/P4,CURRENT,Free water in auger holes / infiltration issues,water depth,"Forces modified wording, dewatering, drainage upgrade, maybe 600x200",None,Composite clause; should be broken into subcomponents.,Master clause doc,AUTO,DT_034; DT_081,No,,Split into P2 observation + P4 drainage upgrade / dewatering action.
CL_027,Knockdown/Rebuild,"At the time of inspection, the excavation was at footing grade and was advanced by a backhoe. Cuts of approximately 2.2 to 2.4 metres below the adjacent ground surface were noted. It is understood that a previous residence had existed upon the site and had been removed prior to our inspection.",Excavation history,P2,CURRENT,When previous residence removed prior to inspection,cut range,May pair with infill/history wording,None,Probably same family as Infill; needs de-duplication.,Master clause doc,AUTO,DT_040,No,,Use as site-history add-on for knockdown/rebuild context.
CL_028,Building Addition,The building addition and original building may undergo differential movements. A structural design sufficient to compensate for differential movements between the building components will be required. A Structural Engineer should be consulted to provide design input.,Special project,Later paragraph,SPECIAL,Building addition / differential movement advisory,none,Structural engineer consult recommendation,Normal new-house footing flow,Defer unless firm says common in V1.,Master clause doc,REVIEW,DT_084,Yes,"Is this always a separate later advisory paragraph, or can it coexist with the standard P4 recommendation in the same letter?",Treat as special project advisory.
CL_029,Engineered Fill by others,"It is understood that this lot was part of an engineered fill program supervised and tested by others. A standard footing foundation appears suitable for this lot; however, Hoggan must review adequate documentation from the engineered fill program to confirm this assessment prior to foundation construction.",Soil provenance,P3 / P4,UNCLEAR,Engineered fill supervised/tested by others,external documentation,May block final recommendation until review,JRP engineered fill variants,Contains 'Hoggan must review' legacy reference; needs approval.,Master clause doc,REVIEW,DT_055,Yes,"Is the 'Hoggan must review' wording still current, and what is the correct current process if engineered fill was done by others?",High-risk wording family; do not silently automate.
CL_030,Engineered Fill unknown / contact developer,It is understood that this lot was part of an engineered fill program supervised and tested by a firm other than ours. It is recommended that you contact the developer of this particular subdivision and get the relevant information about the engineering firm that engineered this fill. The engineering firm can then give you a recommendation based on the data they collected about this lot.,Soil provenance,P3 / P4,CURRENT,"When fill by other firm is known only generally, not documented",developer/firm info if available,May defer recommendation or instruct client to obtain information,JRP engineered fill variants,Need current approved wording from reviewer.,Master clause doc,REVIEW,DT_056,Yes,"Should this remain an automated clause, or should it become a manual-review prompt telling the user to stop and obtain outside documentation first?","Supported in V1 scope, but safer as review-required."
CL_032,Construction nearly complete,"At the time of the inspection, the single family dwelling construction was near completion with ongoing finishing work being completed. The foundation walls were placed upon a strip footing with a footing width of approximately 450 millimetres and depth of 150 millimetres. The exterior and attached garage had been backfilled.",Follow-up / late inspection,P2,CURRENT,Inspection performed late in build,none,Switches excavation narrative to built-condition narrative,Framing stage,Need usage rules.,Master clause doc,AUTO,DT_041,No,,Late-stage context add-on for P2.
CL_033,Framing stage,"At the time of the inspection, the single family dwelling construction was at the framing stage. The foundation walls were placed upon a strip footing with a footing width of approximately 450 millimetres and depth of 150 millimetres. The exterior and attached garage had been backfilled.",Follow-up / late inspection,P2,CURRENT,Inspection during framing stage,none,Switches excavation narrative to built-condition narrative,Construction nearly complete,Need usage rules.,Master clause doc,AUTO,DT_042,No,,Late-stage context add-on for P2.
CL_034,Backfill with gravel and deep sump or clay,"One option to utilize normal strip footing foundation is to completely remove the organic material until native soil is exposed and backfill back to footing elevation with filter cloth and washed rock or crushed gravel compacted in maximum 150-millimetre-thick lifts. Foundation drainage must be modified to drain the washed rock or washed rock and ensure positive flow within the weeping tile towards the sump in all locations. The sump must be installed to below the bottom of the washed rock or crushed gravel. Care must be taken with this method to ensure the weeping tile is placed level, with no humps or sags to maintain positive drainage. Another option to utilize normal strip footing foundation is to completely remove the organic material until native soil is exposed and backfill back to footing elevation with a medium plastic clay compacted to 98% of a Standard Proctor density, in maximum 150-millimetre-thick lifts.

The completed stripping should be inspected by our firm prior to gravel or clay placement. Also, our firm must be onsite to monitor and test the placement of the backfill material. Only then, would the soil conditions at this site be considered adequate for the construction of a standard house footing foundation. A minimum strip footing width of 450 millimetres and a minimum depth of 150 millimetres are recommended for this residence. The footing should be reinforced with one row of 2-10M bars spread evenly throughout the footing. The basement walls should be reinforced with four rows of 2-10M bars, spread evenly throughout the wall.",Remediation package,P4,SPECIAL,Alternative remediation for organic material/unsuitable soils,material type,Complex remediation workflow,Simple footing recommendations,Likely later phase or specialty branch.,Master clause doc,REVIEW,DT_085,Yes,"Should both remediation options remain in V1, or should this entire package stay manual-review only until examples are normalized?",Complex remediation package; keep special/manual-review.
CL_035,Oversized cut in service trench – replace fill with fillcrete,"Due to an oversized cut in the service trench, the fill material in the service trench should be removed from the excavation and backfilled with fillcrete. A requested follow-up inspection was conducted on July 26, 2010. At that time, the fill material in the service trench had been removed and the trench was suitable for fillcrete placement. The soil conditions at this site were considered adequate for the construction of a standard house footing. A minimum strip footing width of 450 millimetres and a minimum depth of 150 millimetres are recommended for this residence. For extra strength, the front footing should be reinforced with one row of 2-10M bars spread evenly throughout the footing. The front basement wall should be reinforced with four rows of 2-10M bars, spread evenly throughout the wall. OR An oversized, loosely compacted, service trench was encountered at the front of the excavation. Due to the un-compacted nature, the soils encountered in the service trench are not considered suitable for footing or slab-on-grade support. The existing service trench fill materials should be completely removed from beneath the footing areas and backfilled with fillcrete. Another option would be to backfill the over excavated service trench to the design footing elevation with filtercloth and washed rock or crushed gravel. It should be noted that the foundation drainage must be modified to drain the washed rocked or crushed gravel and ensure positive flow within the weeping tile towards the sump in all locations. The sump must be installed to below the bottom of the washed rock or crushed gravel. Care must be taken with this method to ensure the weeping tile is placed level, with no humps or sags to maintain positive drainage.",Remediation package,P4 + follow-up,CURRENT,Alternative oversized trench remediation with fillcrete,follow-up date if applicable,Adds follow-up inspection or fillcrete option,Simple oversized trench reinforcement clause,May need split into first-visit and follow-up templates.,Master clause doc,REVIEW,DT_079; DT_085,Yes,Confirm when the fillcrete follow-up variant is preferred over the simpler over-sized-trench reinforcement path.,Special remediation/follow-up family.
CL_036,Rain / Softened Material / Free Rain Water,"The surficial material in the excavation was saturated and soft, with free water noted within the excavation to a depth of approximately 50 to 75 mm. Below the surficial soft material, the soil encountered……… …… It appears that the free water and saturated material are due to rain received after the basement was excavated. The free water encountered should be removed from within the excavation and the excavation should be adequately dried. Also, any rain softened and/or disturbed material should be excavated from beneath the footings. Care must also be taken to place the weeping tile level, with no bumps or sags. The soil conditions at this site would then be considered adequate for the construction….

Or

The surficial soil throughout the excavation was saturated and soft, with isolated areas of standing water up to 75 mm deep across the excavation. It is understood that the water was due to rain received after the excavation had been completed. Below the rain-softened surficial material, the soil was identified as moist, silty, sandy clay till. The clay till was a native deposit of medium plasticity with a very stiff consistency, and contained traces of coal, oxides and pebbles. The free water encountered should be removed from within the excavation and the excavation should be adequately dried. Any rain softened and/or disturbed material should be hand excavated from beneath the footings. The excavated material can be accounted for by a thickened footing. Care must also be taken to place the weeping tile level, with no bumps or sags and have positive flow to the sump. The basement should be monitored during construction for any groundwater seepage, and if observed, our firm should be contacted to inspect the site.",Observation + recommendation package,P2/P3/P4,CURRENT,Rain-softened material and/or standing water,depth; water depth,Suitability changes to 'would then be considered'; adds removal/drying instructions,None,Composite clause; needs decomposition.,Master clause doc,REVIEW,DT_035; DT_082,Yes,"Which of the rain-softened source variants should be the canonical V1 wording, and what exact trigger distinguishes them?","Keep family in V1 scope, but expose as review-required if branch choice is unclear."
CL_037,Engineered Fill by Sabatini (Carlton),"It is understood that engineered fill was placed in this area by others. Information received from Urban Systems Ltd., the municipal engineers for this subdivision, indicates that this lot was part of an engineered fill program tested and supervised by Sabatini Earth Technologies Inc. Based on this information and a letter dated December 15, 2005 from Sabatini, as well as our site observations, the soil conditions at this site were considered adequate for the construction of a standard house footing foundation. A minimum strip footing width of 450 millimetres and a minimum depth of 150 millimetres are recommended for this residence. Also, for extra strength, the basement walls should be reinforced with four rows of 2-10M bars spread evenly top to bottom.",Project/subdivision-specific,P3/P4,SPECIAL,Specific external documentation case,external letter/date,Special-case provenance + reinforcement,Generic fill-by-others clauses,Keep as legacy reference only.,Master clause doc,REVIEW,DT_056,Yes,"Should this remain as a Carlton/Sabatini historical special case, or be generalized into a verified engineered-fill-by-others pattern?",Subdivision-specific provenance clause; not part of the normal path.
CL_038,Snow Covered,"Cuts of approximately 2.1 to 2.4 metres below the adjacent ground surface were noted in the house area. Approximately 100 millimetres of snow covered the entire excavation. The soil encountered throughout the excavation floor was identified as moist, grey/brown, silty clay. The clay material was a native deposit of high plasticity with a stiff consistency. The snow and any softened material below the footings should be removed from excavation prior to placement of footings. The soil conditions at this site would then be considered adequate for the construction of a standard house footing foundation. A minimum strip footing width of 450 millimetres and a minimum depth of 150 millimetres are recommended for this residence.",Observation + recommendation package,P2/P3/P4,CURRENT,Excavation covered by snow / softened material risk,snow depth,Suitability becomes conditional on snow removal,None,Composite clause; may be seasonal observed condition family.,Master clause doc,AUTO,DT_036; DT_083,No,,Observation/remediation package for snow-covered excavation.
CL_039,Exposed electrical trench,"It appears that the free water is due to surficial water draining into the excavation via an exposed electrical service trench in the front excavation wall. The free water encountered should be removed from within the excavation and the excavation should be adequately dried. Also, any water softened and/or disturbed material should be excavated from beneath the footings. Care must also be taken to place the weeping tile level, with no bumps or sags.",Observation + recommendation,P2/P4,CURRENT,Surficial water draining through exposed electrical trench,none,Adds drying/removal/drainage instruction,None,Likely a special trigger within water issues family.,Master clause doc,AUTO,DT_037; DT_084,No,,Water-source explanation belongs in P2; drainage/remediation belongs in P4.
CL_042,Ground Heating System,"At the time inspection, the entire excavation floor featured an operating ground heating system which was installed by the builder to remove frost. Below the tarps, the surficial material in the excavation was saturated and soft. Below the surficial soft material, the soil encountered was identified as",Observation clause,P2/P3,UNCLEAR,Ground heating used to remove frost,subsurface soil description,May pair with frost/water issues,None,Need complete wording; clause text appears incomplete in source.,Master clause doc,REVIEW,DT_038,Yes,Provide or confirm the full current wording for ground-heating-system cases; source excerpt appears incomplete.,Do not freeze wording until full current clause is confirmed.
CL_043,High Plastic Warning,The high plastic clay is highly susceptible to shrinkage and swelling with changes in moisture content and may undergo movement over time. Please contact our firm for further input if desired.,Soil add-on,P3,CURRENT,Whenever high plastic clay is selected,none,Adds movement/shrink-swell warning,None,Straightforward derived add-on.,Master clause doc,AUTO,DT_063,No,,Append at end of P3 when high-plastic condition is selected.
CL_044,Frost check inspection follow up,"As requested, J.R. PAINE & ASSOCIATES LTD., (JRP), has conducted a follow-up inspection of the above noted excavation on May 9, 2025. The initial inspection was completed on January 9, 2025, and documented in letter “h36696” dated January 14, 2025. The purpose of this inspection was to verify that the site soils below the foundation were frost free. The existing foundation and basement walls were not inspected as part of this investigation. At the time of the inspection, the single-family dwelling construction was near completion with ongoing finishing work being completed. The basement slab had not been poured. The soils noted below the basement slab and adjacent to footings were currently frost free. The soil conditions observed during this inspection were consistent with those encountered during the initial assessment; therefore, the recommendations provided in the first inspection remain applicable.",Introduction,P1,SPECIAL,Follow-up frost verification after initial letter,follow-up date; original letter reference,Separate letter type,Normal initial FSI letter,Later phase / separate template mode.,Master clause doc,REVIEW,DT_011,Yes,Confirm whether frost follow-up stays in the first release UI or remains a clearly labeled special mode behind a manual-review flag.,Special P1 replacement path; not the everyday default.
CL_045,Spread Footings – 140 kPa,Spread footings may be designed utilizing a factored bearing resistance of 140 kilopascals (2900 pounds per square foot) with a geotechnical resistance factor of 0.5.,Recommendation add-on,P4,CURRENT,Spread footing value 140 kPa / 2900 psf,none,Appends bearing sentence,Spread Footings – 100 kPa,Matches example file.,Master clause doc + example letter,REVIEW,DT_075,Yes,Confirm whether this and CL_005 should be treated as one canonical 140 kPa family or kept as separate clause records only for audit trail.,Keep one canonical 140 kPa output family in generator.
CL_046,Spread Footings – 100 kPa,Spread footings may be designed utilizing a factored bearing resistance of 100 kilopascals (2000 pounds per square foot) with a geotechnical resistance factor of 0.5.,Recommendation add-on,P4,UNCLEAR,Alternate spread footing value 100 kPa / 2000 psf,none,Appends bearing sentence,Spread Footings – 140 kPa,Conflict exists in source; requires decision.,Master clause doc,REVIEW,DT_076,Yes,Confirm exact use-case for the 100 kPa alternative and whether it should ever appear in the first generator.,Do not set as default.
CL_047,Already poured walls and footing,"At the time of inspection, the excavation was at footing grade and was advanced by a backhoe. Cuts of approximately 1.4 to 1.9 metres below the adjacent ground surface were noted in the house area. The foundation footings and basement foundation walls were already constructed prior to this inspection. The perimeter strip footings were measured between 450 to 525 millimetres in width with depths between 150 to 200 millimetres. The soil encountered throughout the house excavation floor was identified as moist, grey/brown, silty clay. The clay material was a native deposit of high plasticity with a stiff consistency and featured trace oxides. The high plastic clay is highly susceptible to shrinkage and swelling with changes in moisture content and may undergo movement over time. Please contact our firm for further input if desired. The soil conditions at this site are considered adequate for the construction of a standard house footing foundation. The as-constructed strip footings with a minimum width of 450 millimetres and minimum depth of 150 millimetres are considered adequate for this residence.",Late/as-constructed variant,P2/P3/P4,CURRENT,When walls and footings already built before inspection,measured width/depth,Uses as-constructed adequacy wording,Standard live excavation narrative,Useful separate mode for V1 or V1.1.,Master clause doc,REVIEW,DT_029; DT_074,Yes,Confirm final wording/layout for the already-poured walls-and-footing path and whether it always remains an as-constructed adequacy mode.,Special late/as-constructed branch.
