Rule ID,V1 Support,Section,Trigger source,User / system input,Allowed / example values,Condition / applies when,Action type,Primary clause ID(s),Secondary clause ID(s),Output / result,Downstream / dependency,Huzaifa review?,Exact review prompt,Evidence / notes
DT_036,AUTO,P2 / P4,Issue checkbox + value,Snow-covered excavation,Yes / No + snow depth mm,When snow covers the excavation,Append + derive,CL_038,,Append snow-covered observation and trigger snow/softened material removal wording before adequacy statement.,Usually flips suitability wording to 'would then be considered'.,No,,Source clause is self-contained and usable.
DT_037,AUTO,P2 / P4,Issue checkbox,Exposed electrical service trench causing water,Yes / No,When surficial water is draining via an exposed electrical trench,Append + derive,CL_039,,Add the electrical-trench water-source explanation and trigger drainage/removal wording in P4.,Pairs naturally with water-remediation logic.,No,,Source clause is specific but coherent.
DT_038,REVIEW,P2 / P3,Issue checkbox,Operating ground heating system,Yes / No,When a builder-installed ground heating system is present,Append / review,CL_042,,"Keep the branch in V1 scope, but require review until a full clean current wording is confirmed.",May affect P2 and P3 observation language.,Yes,Provide or confirm the full current ground-heating wording.,Current source excerpt appears incomplete.
DT_039,AUTO,P2 / P3,Site-history select,Infill / previous residence removed,None; Infill,When a prior residence existed and was removed before inspection,Append,CL_006,,Add the infill history note to the contextual site narrative.,May coexist with knockdown/rebuild context.,No,,Straightforward site-history add-on.
DT_040,AUTO,P2,Site-history select,Knockdown / rebuild,None; Knockdown / rebuild,When a previous residence existed and the site is a knockdown/rebuild case,Append,CL_027,CL_006,Append the knockdown/rebuild history wording in P2.,May also pair with infill context depending on how the office wants to phrase it.,No,,Clause family is explicit in source.
DT_041,AUTO,P2,Construction-stage select,Construction nearly complete,Normal; Nearly complete,When the inspection occurs after major construction has progressed,Replace / append,CL_032,,Use the late-stage construction context instead of the normal live-excavation description.,"Changes how P2 reads, but not the rest of the skeleton.",No,,Source clause is a late-inspection context family.
DT_042,AUTO,P2,Construction-stage select,Framing stage,Normal; Framing stage,When the inspection occurs at framing stage,Replace / append,CL_033,,Use the framing-stage context wording instead of the normal live-excavation description.,"Changes how P2 reads, but not the rest of the skeleton.",No,,Source clause is a late-inspection context family.
DT_050,AUTO,P3,Always,Single-layer soil paragraph backbone,primary soil descriptors,When the excavation is described as one main soil body,Insert / compose,Report_Skeleton P3,,"Compose P3 from structured origin, material family, moisture, colour, plasticity, consistency/density, and trace features.",May append engineered-fill provenance and high-plastic warning.,No,,"P3 should be built from controls, not from free typing."
DT_051,AUTO,P3,Layering mode select,Layered fill over native soil paragraph,engineered fill over native,When fill overlies native material and both need to be described,Insert / compose,CL_017,CL_007 / CL_008,"Compose a two-part P3: fill layer first, then native layer below.",May append JRP engineered-fill provenance and native-deposit wording only to the native layer.,No,,Example issued letter demonstrates this exact pattern.
DT_052,AUTO,P3,Origin select,Native deposit wording,origin = native,Whenever the soil body being described is native,Modify wording,Report_Skeleton P3,,Use 'was a native deposit of ...' only for native soils.,Legal/technical wording discipline matters.,No,,Second call emphasized this wording distinction explicitly.
DT_053,AUTO,P3,Origin select,Engineered fill by JRP,origin = engineered fill by JRP,When engineered fill was monitored and tested by JRP,Append,CL_007,,Append JRP engineered-fill provenance clause to P3.,None,No,,Core engineered-fill provenance family.
DT_054,AUTO,P3,Origin select,Engineered fill by JRP + others,origin = engineered fill by JRP + others,When JRP handled part of the fill program and others handled later fill,Append,CL_008,,Append mixed-provenance engineered-fill clause to P3.,None,Yes,Confirm the office cue that tells users to choose this branch rather than the JRP-only branch.,Source text exists; selection cue needs operational confirmation.
DT_055,REVIEW,P3 / P4,Origin select,Engineered fill by others,origin = engineered fill by others,When engineered fill was supervised/tested by a firm other than JRP,Append / review,CL_029,,"Keep branch in scope, but treat as review-required until the current firm wording/process is confirmed.",May influence whether P4 should fully recommend or stop for documentation review.,Yes,"Is the existing 'Hoggan must review' wording still current, and what replaces it today?",High-risk clause family.
DT_056,REVIEW,P3 / P4,Origin select,Engineered fill unknown / external provenance variants,origin = unknown or verified by outside letter,When provenance is unknown or when a subdivision-specific external verification letter is being relied upon,Append / review,CL_030; CL_037,,Keep branch in scope but flagged. Use the unknown-contact-developer wording or a special verified-by-others clause only after review.,May also affect whether P4 recommendation proceeds normally.,Yes,Should these remain automated clauses or become stop-and-review prompts?,These branches rely on outside documentation and are not core daily flow.
DT_057,AUTO,P3,Structured soil controls,Material family and descriptor families,Clay; Clay till; Sand; Silt; Clayey sand; Clayey silt; descriptor sets,Whenever P3 is composed,Compose,Report_Skeleton P3,,Select the right descriptor family by material type: clay/clay till use silty/sandy style modifiers; sand/silt use grain/gradation/density style descriptors.,Feeds P3 composition and downstream high-plastic / density wording.,No,,Second call carefully distinguished these families.
DT_058,AUTO,P3,Structured soil controls,Moisture adjacency rule,Damp -> Moist -> Very moist -> Wet,Whenever one or two moisture states are selected,Compose / validate,Report_Skeleton P3,,Allow at most two adjacent selections moving left-to-right on the scale; do not allow skipped combinations.,Prevents invalid UI combinations.,No,,Second call explicitly described moisture as a linear scale with no skipping.
DT_059,AUTO,P3,Structured soil controls,Colour palette,Brown; Grey; Brown and grey; Brown and dark grey; Dark grey; Black; Reddish brown,Whenever a colour descriptor is needed,Compose,Report_Skeleton P3,,Insert the selected colour phrase into the soil description.,None,No,,Use limited colour palette from the second call.
DT_060,AUTO,P3,Structured soil controls,Plasticity adjacency rule,Low -> Medium -> High,Whenever one or two plasticity states are selected,Compose / validate,Report_Skeleton P3,,Allow low; medium; high; or adjacent pairings such as low-to-medium or medium-to-high; do not allow low-to-high jump.,May also drive the high-plastic warning.,No,,Second call treats plasticity as another linear scale.
DT_061,AUTO,P3,Structured soil controls,Consistency / density family rule,Clay family = soft/firm/stiff/very stiff/hard; Sand/silt family = very loose/loose/compact/dense/very dense,Whenever material family is selected,Compose / validate,Report_Skeleton P3,,Expose only the valid consistency/density family for the selected soil type.,None,No,,Second call explicitly separated clay consistency from sand/silt density.
DT_062,AUTO,P3,Structured soil controls,Trace features,Oxides; White precipitates; Coal; Gravel; Organics; Rootlets,Whenever trace features are selected,Append,Report_Skeleton P3,,Append trace features to the end of the soil-description sentence.,None,No,,Huzaifa said oxides and white precipitates are very common defaults.
DT_063,AUTO,P3,Derived / checkbox,High-plastic warning,high_plastic = yes,When high-plastic clay is present,Append,CL_043,,Append the high-plastic warning at the bottom of P3.,None,No,,Second call explicitly said this warning belongs at the end of P3.
DT_070,AUTO,P4,Derived from P2/P3,Standard house footing recommendation,standard footing basis,When no condition requires modified or as-constructed logic,Insert,CL_002,CL_005 / CL_045,Insert standard house footing recommendation in P4.,May later append spread-footing sentence.,No,,Core recommendation family.
DT_071,AUTO,P4,Derived from P2/P3,Modified house footing recommendation,modified footing basis,When conditions require modified footing,Insert,CL_003,,Insert modified house footing recommendation in P4.,P5 must mirror modified basis when garage exists.,Yes,Confirm the exact trigger thresholds that move a site from standard to modified footing.,Text is clear; triggers are the open part.
DT_072,AUTO,P4,Derived from as-constructed mode,As-constructed house adequacy - 18 inch,previously poured footing 18in,When 18-inch previously poured footing mode is selected,Replace,CL_019,,Replace a fresh recommendation with as-constructed adequacy wording.,P5 may also switch to as-constructed garage adequacy wording.,No,,Real branch described in first call.
DT_073,AUTO,P4,Derived from as-constructed mode,As-constructed house adequacy - 20 inch,previously poured footing 20in,When 20-inch previously poured footing mode is selected,Replace,CL_019,,Replace a fresh recommendation with as-constructed adequacy wording for the 20-inch case.,P5 may also switch to as-constructed garage adequacy wording.,No,,Real branch supported by source text.
DT_074,REVIEW,P4,Derived from as-constructed mode,As-constructed house adequacy - 24 inch / walls+footing family,24in or walls+footing special case,When the rarer as-constructed variants are selected,Replace / review,CL_019; CL_047,,"Keep the branch in scope, but require review until exact wording/dimensions are confirmed.",May affect P5 or high-plastic warning placement.,Yes,Confirm the exact wording and whether all special as-constructed branches should stay in first-release UI.,Rarer branches; source not fully normalized.
DT_075,REVIEW,P4,Derived add-on,Spread footing sentence - 140 kPa family,140 kPa / 2900 psf,When the 140 kPa spread-footing family is the current office default,Append,CL_005; CL_045,,Append 140 kPa spread-footing sentence to P4.,Competes with 100 kPa alternative if that remains active.,Yes,Confirm whether 140 kPa is always the current default for V1.,Example letter uses 140 kPa.
DT_076,REVIEW,P4,Derived add-on,Spread footing sentence - 100 kPa family,100 kPa / 2000 psf,Only when the 100 kPa family is truly required,Append / review,CL_004; CL_046,,Keep branch in scope but flagged. Do not set as default.,Competes with 140 kPa family.,Yes,When should the 100 kPa sentence ever be used instead of 140 kPa?,Conflict remains in source material.
DT_077,AUTO,P4,Derived from issue flags,Suitability wording flip,issue flags that require remedial action,"When a remedial issue is present (e.g., frost, over-sized trench, rain-softened material, free water)",Modify wording,Report_Skeleton P4,,Change the adequacy wording from 'were considered adequate' style to 'would then be considered adequate' style when remedial action is required first.,Used by several P4 issue families.,No,,Second call explicitly called out this wording change.
DT_078,AUTO,P4,Derived from frost flag,Frost reinforcement preface,frost depth present,When frost is encountered,Prepend / insert,CL_010,,Insert reinforcement wording tied to frost before or with the base P4 recommendation.,Also triggers wording flip in DT_077.,No,,Frost clause is directly linked from P2 to P4.
DT_079,AUTO,P4,Derived from over-sized trench flag,Over-sized trench reinforcement/remediation preface,over-sized trench observed,When over-sized trench is selected,Prepend / insert,CL_024; CL_035,,Insert trench reinforcement or fillcrete/remediation wording before or with the base recommendation.,Also triggers wording flip in DT_077.,Yes,Confirm when the simple reinforcement version is preferred versus the fillcrete/remediation family.,Core family is in scope; branch preference is the review point.
DT_080,AUTO,P4,Derived from loose / peeling material flag,Thickened footing / loose-material remediation add-on,loose_peeling = yes,When loose or peeling material must be removed or accounted for,Append,CL_020; CL_025,,Insert removal / thickened-footing / weeping-tile caution language as the selected loose-material branch requires.,May also trigger wording flip in DT_077 depending on selected branch.,No,,"Treat thickened footing as an add-on family, not as a full base recommendation by itself."
DT_081,AUTO,P4,Derived from water issue flag,Drainage upgrade / dewatering preface,free water in augers or infiltrating water,When water in auger holes or infiltrating water is present,Prepend / append,CL_026,,Insert dewatering and upgraded drainage wording ahead of or alongside the base recommendation.,Often pushes recommendation basis toward modified footing and flips wording via DT_077.,No,,Huzaifa described this very explicitly in first call.
DT_082,REVIEW,P4,Derived from rain-softened mode,Rain-softened remediation preface,rain-softened / saturated selected,When rain-softened material branch is active,Prepend / append,CL_036,,Insert drying / removal / thickened-footing / monitor-for-seepage wording as applicable.,Usually flips wording via DT_077.,Yes,Which rain-softened wording variant should be canonical for first release?,Source family contains multiple closely related packages.
DT_083,AUTO,P4,Derived from snow flag,Snow / softened-material removal preface,snow cover present,When snow-covered excavation branch is active,Prepend / append,CL_038,,Insert snow/softened material removal wording ahead of the base adequacy statement.,Usually flips wording via DT_077.,No,,Source clause is reasonably clean.
DT_084,REVIEW,P4 / later,Derived from special flag,Exposed electrical trench / building addition advisory family,special project flags,When building-addition or water-source special advisories are selected,Append / special advisory,CL_028; CL_039,,Insert the applicable special advisory without breaking the base letter flow.,May coexist with other P4 remediation language.,Yes,Confirm if building-addition advisory should sit inside P4 or as its own separate later paragraph.,"Special family, but not explicitly deferred."
DT_085,REVIEW,P4,Special remediation select,Backfill / fillcrete / gravel / clay remediation packages,special remediation mode,When a complex remediation package beyond the normal standard/modified path is needed,Replace / prepend / review,CL_034; CL_035,,"Keep branch in scope, but treat as review-required until the office decides which packages belong in the first UI.",May heavily alter P4 and even require follow-up inspection language.,Yes,Which of these complex remediation packages belong in the first release versus staying manual-review only?,"Not explicitly deferred, but clearly more complex than the normal path."
DT_090,AUTO,P5,Derived from garage_mode + footing basis,Standard garage recommendation,garage exists + P4 = standard,When a garage exists and the house footing basis is standard,Insert,CL_014,,Insert standard garage recommendation paragraph.,Depends on P2 garage presence and P4 footing basis.,No,,Garage paragraph is fully derived.
DT_091,AUTO,P5,Derived from garage_mode + footing basis,Modified garage recommendation,garage exists + P4 = modified,When a garage exists and the house footing basis is modified,Insert,CL_015,,Insert modified garage recommendation paragraph.,Depends on P2 garage presence and P4 footing basis.,No,,Huzaifa said garage footing basis must be homogeneous with house basis.
DT_092,AUTO,P5,Derived from garage_mode + as-constructed mode,Garage as-constructed adequacy wording,garage exists + as-constructed house footing mode,When a garage exists and the house branch is as-constructed rather than a fresh recommendation,Replace,CL_019,,Insert garage as-constructed adequacy wording instead of a fresh recommendation.,Depends on P2 garage presence and P4 as-constructed basis.,No,,Source family includes as-constructed garage adequacy language.
DT_093,REVIEW,P5,Derived from garden_suite special mode,Garden / garage suite recommendation,garden suite = yes,When the special garden-suite structure path is active,Insert,CL_023,,Insert the garden-suite recommendation paragraph only.,Suppress normal house P4 for the suite itself.,Yes,Confirm that this special structure always uses P5 only with no normal house P4 recommendation for the suite.,Second call clarified this as a special exception.
DT_094,REVIEW,P5 / later,Derived from special checkbox,Garage slab organics / slab disclaimer family,garage slab organics or slab disclaimer selected,When garage slab organics or similar slab advisory path is needed,Append / special advisory,CL_016; CL_012,,Insert the garage-slab organics advisory and/or slab disclaimer as a special garage/slab advisory.,May sit after the main garage recommendation rather than replacing it.,Yes,Confirm when these advisories are standard add-ons versus exceptional notes.,"Special advisory family, not the default garage path."
DT_095,AUTO,P5,Derived rule,Garage paragraph derivation rule,garage_mode != none,Whenever P2 says a garage exists,Derive / enforce,Report_Skeleton P5,CL_014 / CL_015 / CL_019 / CL_023,P5 becomes mandatory and mirrors the footing basis or special mode selected upstream.,Prevents users from omitting the garage paragraph when garage exists.,No,,Second call explicitly said garage paragraph cannot be manually suppressed if P2 says garage exists.
DT_100,AUTO,P6,Lab result select,Sulphate - Negligible,negligible,When sulphate paragraph is included and lab result is negligible,Insert,CL_048,,Insert negligible sulphate paragraph.,One-of-four family.,No,,Huzaifa said sulphate is a simple one-of-four add-on.
DT_101,AUTO,P6,Lab result select,Sulphate - Moderate,moderate,When sulphate paragraph is included and lab result is moderate,Insert,CL_049,,Insert moderate sulphate paragraph.,One-of-four family.,No,,Simple add-on family.
DT_102,AUTO,P6,Lab result select,Sulphate - Severe,severe,When sulphate paragraph is included and lab result is severe,Insert,CL_050,,Insert severe sulphate paragraph.,One-of-four family.,No,,Simple add-on family.
DT_103,AUTO,P6,Lab result select,Sulphate - Very severe,very severe,When sulphate paragraph is included and lab result is very severe,Insert,CL_051,,Insert very severe sulphate paragraph.,One-of-four family.,No,,Simple add-on family.
DT_110,AUTO,P7,Always,Winter construction paragraph,none,Every V1 letter,Insert,CL_011,,Append winter paragraph after technical recommendation paragraphs.,None,No,,Huzaifa said this is always there; keep fixed in V1.
DT_111,AUTO,P8,Always,Closing paragraph,none,Every V1 letter,Insert,Report_Skeleton P8,,Append standard closing paragraph before signoff.,None,No,,Matches example issued letter.
DT_112,AUTO,SIG,User profile / optional,Prepared-by block,author profile,When author is not absorbed into signing engineer block,Insert / suppress,Report_Skeleton SIG_01,,Show prepared-by name/designation if needed; otherwise collapse it.,None,No,,Prepared-by is optional in V1.
DT_113,AUTO,SIG,User profile / asset directory,Engineer signoff block,signing engineer profile,Every V1 letter,Insert / derive,Report_Skeleton SIG_02,,"Insert engineer name, designation, member number, and stamp asset in the engineer signoff block.",Print workflow depends on this block being present.,No,,Treat engineer block as standard in the first generator.
DT_114,AUTO,SIG,Fixed asset,Permit-to-practice signatory block,blank permit-to-practice asset,Every V1 letter,Insert,Report_Skeleton SIG_03,,Insert the fixed blank permit-to-practice asset; do not tie it to the chosen engineer stamp.,None,No,,Second call said this should stay fixed and blank in V1.
DT_115,AUTO,SIG / Archive,Derived from metadata + hidden H number,Archive path / output filename,year; client folder; H number; client code if used,Every V1 letter,Derive / compose,Report_Skeleton SIG_04,,Compose the H-drive archive path and filename at the bottom of the letter.,Uses hidden H number even though H number is not visible in body text.,No,,Important for office filing/retrieval and later booking-system linkage.
